text1,text2,base pred,trained pred,base label,trained label,truth
the apple doesn't fall far from the tree,the apple doesn't fall far from the tree,0.9995,1.001,True,True,True
wall hanging,The Interview (2014 film),0.1132,0.06107,False,False,False
another newspaper,merged corporation,0.1528,-0.012215,False,False,False
nevertheless,annual,0.1456,-0.014,False,False,False
"captain (JASDF, JGSDF)",establishment,0.1848,-0.02661,False,False,False
inclement,to do,0.2242,-0.12415,False,False,False
voting paper,to stare (at),0.0391,-0.01121,False,False,False
daybreak,to turn white,0.2463,0.1788,False,False,False
bleak,stormy,0.3743,0.1798,False,False,False
need not have,turnover,0.2573,0.04956,False,False,False
monotonically increasing sequence,meagerly,0.04562,-0.04343,False,False,False
winter decay,flattery,0.08606,-0.0731,False,False,False
stalemate,"giant petrel (esp. the southern giant petrel, Macronectes giganteus)",0.0717,0.05246,False,False,False
EOS,extra points given to the white player as compensation for playing second,0.12,0.2673,False,False,False
foreign exchange bank,tame,0.0724,0.0815,False,False,False
cutting paper silhouettes,"to garner (support, etc.)",0.01424,-0.0722,False,False,False
samue,typing aid,0.11224,0.05554,False,False,False
newspaper vendor,jump_on,-0.004204,-0.1278,False,False,False
tracksuit,(registry of) land and people,0.00695,-0.0733,False,False,False
pioneer,public support,0.1692,0.01444,False,False,False
pasturing (e.g. cattle),GCR,0.0763,-0.063,False,False,False
blackmail,blackmail,1.0,0.9995,True,True,True
rectangular bugaku mask made of thick paper and white silk with facial features drawn on it,(mixture of) ground beef and pork,0.00925,-0.00227,False,False,False
rich,Yogachara,0.1448,-0.06805,False,False,False
jōdō,fall,0.1595,-0.0863,False,False,False
eye-spot surgeon,particular,0.1373,0.11206,False,False,False
marketer,something that bewilders,0.1202,-0.08923,False,False,False
kind,unfriendly,0.3506,-0.04913,False,False,False
relaxed,discomposure,0.3057,-0.1943,False,False,False
way of writing (a word) in kanji,Anglo-American law,0.03665,0.1052,False,False,False
cross,terribly,0.0905,-0.06604,False,False,False
town-run,touched,0.2238,0.1366,False,False,False
small cavity,small cavity,1.0,1.0,True,True,True
to be part of a constellation,pasturing,0.1032,-0.2416,False,False,False
complex,video game,0.3179,-0.02487,False,False,False
nonparticipation,physically disabled person,0.1483,0.1178,False,False,False
after a losing battle,dock,0.1569,0.0147,False,False,False
loyalty,loyalty,1.0,1.0,True,True,True
enamelware,Intelpost,0.1214,0.01401,False,False,False
running (businesses) simultaneously,one edge,0.186,0.279,False,False,False
ravine wind,insolent,0.0911,0.015564,False,False,False
asterisk,expression of sympathy,0.1266,0.08826,False,False,False
Hokkaido Sociological Association,reappointment,0.05188,0.0694,False,False,False
long rail,examiner,0.1691,-0.1656,False,False,False
shift in,SI,0.2646,0.2908,False,False,True
class teacher,immune cell,0.1957,0.1588,False,False,False
male_child,place in the shade of a mountain,0.08594,-0.1711,False,False,False
manager,transformation belt,0.1891,0.06866,False,False,False
free-for-all,French kiss,0.1687,0.02519,False,False,False
"""salon"" where the hostesses are supposedly part-timers with other jobs",stationing (e.g. of troops),0.1025,-0.1043,False,False,False
no wonder ...,to gather,0.10876,0.01675,False,False,False
Seirei Christopher University,precedence,0.11865,-0.03973,False,False,False
to bubble over,to bubble over,1.0,1.0,True,True,True
Greek letter,foundational principle,0.0783,-0.04272,False,False,False
beauty mark,beauty mark,1.0,1.0,True,True,True
prohibited item,disagree,0.2075,0.0107,False,False,False
dispute over the distribution of water into paddies during the summer (in rural areas),(obsessing) to no end,-0.008995,0.05066,False,False,False
convenient,inconvenient,0.4055,0.10974,False,False,False
splat!,bank book,0.0888,0.03632,False,False,False
220th day,polecat (Mustela putorius),0.09357,-0.1724,False,False,False
flight attendant,dotted note,0.0789,-0.11115,False,False,False
diffusion,diffusion,1.001,0.9995,True,True,True
denuded land,kitchen,0.1664,0.2319,False,False,False
edge or corner of a stone,penalty interest,0.1758,-0.06165,False,False,False
end,imperial headquarters announcement,0.0349,-0.00627,False,False,False
period of work,tour of duty,0.1753,0.48,False,True,True
calligraphy exercises,control,0.0843,-0.03555,False,False,False
federal fund,cybersecurity,0.164,0.16,False,False,False
freakish,help desk,0.0704,-0.1416,False,False,False
(for a fish or bird) to put on fat for the winter,obstinacy,0.04794,0.01055,False,False,False
rapist,rapist,1.0,1.0,True,True,True
distortion factor,tightly,0.1437,0.05524,False,False,False
wild grasses and flowers (esp. as objects of beauty),"Buddhist festival for honouring the spirits of one's ancestors, held in mid-August or in some regions, mid-July",0.1389,-0.002754,False,False,False
fine clothes,worthless,0.2554,-0.05548,False,False,False
to look high and low for,unselfishness,0.1508,0.1486,False,False,False
illegal channels,medium-term,0.11554,0.12274,False,False,False
synchrotron radiation,bated breath,0.03748,0.1099,False,False,False
going along voluntarily to be questioned by police,nerve fibre,-0.01495,0.01241,False,False,False
regular player,first-team player,0.5464,0.6157,True,True,True
blaze_up,dishonest,0.0987,0.0772,False,False,False
death by hanging,patterned,0.0628,0.01817,False,False,False
-driven (e.g. data-driven),worldliness,0.0499,-0.1072,False,False,False
to unravel,to see,0.4238,0.2252,False,False,False
it's best to,clutch hit,0.07446,-0.022,False,False,False
fitted,making a killing,0.1802,0.02756,False,False,False
to do sweet-talk,Manichaeism,0.1764,-0.045,False,False,False
rather coarse,Mizuho Securities,0.010895,-0.0821,False,False,False
no-see-um,love of fame,0.06155,-0.02206,False,False,False
forwarding,validation email,0.0659,-0.01723,False,False,False
labor saving,hooligan,0.09283,-0.10815,False,False,False
public bath,rug,0.2279,-0.08167,False,False,False
to run (of a vehicle),thinly,0.1212,-0.02182,False,False,False
unfamiliarity,travelling (on foot),0.1698,-0.02045,False,False,False
stage favourite,wave-cut platform,0.0996,0.0276,False,False,False
moral risk,trivializing (an issue),0.105,0.0179,False,False,False
Antarctic region,non-refundable restoration fee (when moving out of a property),-0.02939,-0.02359,False,False,False
marauder,over,0.2096,-0.06024,False,False,False
to eat,to drink,0.6934,0.7817,True,True,True
affront,assault,0.2788,0.573,False,True,True
to invent a pretext for a quarrel,ethnic music,0.08276,-0.1493,False,False,False
flight recorder,put_across,0.1534,-0.0008407,False,False,False
low-rise pants,"blowout (oil well, gas field, etc.)",0.07526,0.136,False,False,False
Meyer lemon (Citrus x meyeri),full-face (e.g. helmet),0.0431,-0.07434,False,False,False
collarbone,formative arts,0.1268,-0.001585,False,False,False
digitizer,a fanatic,0.1874,0.0516,False,False,False
personality,"synchronous (communications, etc.)",0.12244,-0.05798,False,False,False
secret promise made to the gods,portion (of food),0.01125,-0.1322,False,False,False
procedure,school,0.1804,0.2935,False,False,False
newly listed,spirit of rivalry,0.0464,-0.1384,False,False,False
honey fungus (Armillaria mellea),honey mushroom,0.644,0.662,True,True,True
"blind snake (esp. the Brahminy blind snake, Ramphotyphlops braminus)",center_on,0.03616,0.0256,False,False,False
landing ship,piece of cake,0.3022,-0.0467,False,False,False
magnanimous,on the premises,0.2404,0.10693,False,False,False
sleeping car,"chain catshark (Scyliorhinus retifer, species found in the Western Atlantic)",0.00983,0.05307,False,False,False
crime syndicate,yakuza,0.2869,0.6523,False,True,True
to keep,monotheism,0.1315,0.03918,False,False,False
pipe,netting,0.279,0.4875,False,True,False
star performer,person who has attained nirvana,0.3154,0.3503,False,False,False
being jealous of others who are in love with each other,forte,0.07117,-0.1118,False,False,False
front lines,vanguard,0.2281,0.6978,False,True,True
sash clip (fastener),sash clip (fastener),1.0,1.001,True,True,True
Norman,cough lozenge,0.0776,-0.071,False,False,False
aftercare,Act on Prohibition of Unauthorized Computer Access,0.09064,0.045,False,False,False
without hesitation,walk,0.277,-0.003473,False,False,False
listlessness,listlessness,1.0,0.9995,True,True,True
checking of a text (usu. translation) by a native speaker,vacantly,-0.00257,-0.092,False,False,False
application package,high speed access,0.06366,0.08374,False,False,False
Japanese language (as a school subject in Japan),complication,0.01133,-0.04202,False,False,False
"to be possessed (by an idea, delusion, etc.)","to be possessed (by an idea, delusion, etc.)",1.001,0.9995,True,True,True
talk,body from which the soul has left,0.09924,-0.02373,False,False,False
Japanized Western cuisine,Western style,0.4792,0.3142,True,False,False
cut,brat,0.2347,0.1298,False,False,False
to get over,regional flavour (flavor),0.1177,-0.1628,False,False,False
asleep (in bed),perhaps,0.05075,-0.10895,False,False,False
lint roller,cross-fertilization,0.11414,-0.04822,False,False,False
all take and no give,social awareness,0.1194,-0.119,False,False,False
one's glory,customer service office,0.2344,-0.06885,False,False,False
"Nihon Shoki (second oldest work of Japanese history, compiled in 720 CE)",crowd of young people coming into their own,-0.08453,0.1175,False,False,False
to have the upper hand,similar to,0.1508,-0.02707,False,False,False
dogtooth,kindness (shown by others),0.2103,0.07263,False,False,False
confident,next inning,0.2054,-0.07196,False,False,False
man who always pays for food,bring_on,-0.00334,0.01935,False,False,False
eros,sexual desire,0.1937,0.558,False,True,True
taste,tea table,0.2512,-0.0656,False,False,False
unusually,tuberculosis,0.2593,-0.11584,False,False,False
contest,tone,0.2229,0.2515,False,False,False
flow out,bad,0.1602,-0.04895,False,False,False
one's regular inn,one's regular inn,1.0,1.0,True,True,True
"person who has tested positive (for a viral infection, etc.)",media worker,0.1678,0.0805,False,False,False
dark fiber,shy,0.2002,0.01369,False,False,False
token bus,to weave up into fabric,0.03372,-0.1337,False,False,False
sponsor,to snitch,0.05045,0.02249,False,False,False
internal medicine,keyhole,0.1075,0.0547,False,False,False
to soak (in),vision of the future,0.1206,-0.2216,False,False,False
corpuscle,annual,0.1854,0.1715,False,False,False
faltering,awkward,0.242,0.5034,False,True,True
existent,inside the home,0.2206,0.0408,False,False,False
to find a way (to),to open the door (to),0.6323,0.6104,True,True,True
to number among,bottoms-up,0.2135,-0.1543,False,False,False
incautiously,vote tally,0.04935,-0.03622,False,False,False
the other way,border print,0.12024,0.1672,False,False,False
(short) rest,wear_off,0.1766,0.7476,False,True,True
base structure,live show,0.04984,0.0007377,False,False,False
(image of) Khitigarbha-bodhisattva,additional printing,0.004704,0.05176,False,False,False
failing,low-salt soy sauce (containing around 13% salt),0.0901,0.04208,False,False,False
refined,noblewoman,0.232,0.1774,False,False,False
to gulp down,mountain that is often climbed in summer,-0.02249,-0.1072,False,False,False
to mark,Skylab,0.11536,-0.04672,False,False,False
poo,lien,0.2257,0.02121,False,False,False
eruption,jumping spider,0.2793,-0.06726,False,False,False
manly poetic style (e.g. in the Man'yōshū),roomy,0.149,-0.01895,False,False,False
Wodan,to compare,0.2339,-0.1926,False,False,False
as one goes,age spot,0.1049,-0.1426,False,False,False
endogenic,to comprise,0.11395,0.0521,False,False,False
candelabra,girandole,0.2654,0.681,False,True,True
foundation,everybody,0.2096,-0.01254,False,False,False
dear,cobra twist,0.1283,-0.10815,False,False,False
faded colour,antique look,0.521,0.614,True,True,True
bothersome,bothersome,1.0,0.9995,True,True,True
revision of an instruction,revision of an instruction,1.0,1.001,True,True,True
image processing equipment,indoors,0.1742,0.05066,False,False,False
mole,fabric (or linoleum) backed wooden floor covering,0.0929,0.1648,False,False,False
approval,endorsement,0.4897,0.752,True,True,True
half again of a designated unit,engineering change,0.1114,0.299,False,False,False
tempest,now,0.1902,-0.0269,False,False,False
controller,exclusive fishing zone,0.06696,-0.01978,False,False,False
psychological,linseed,0.1362,-0.1781,False,False,False
even a tiny bug will defend itself,inferior goods,0.09845,0.05402,False,False,False
green snot,somewhat low,0.07526,0.05695,False,False,False
rocky planet,signal tower,0.08655,-0.033,False,False,False
health teacher,European Economic Community (1958-2009),0.00455,-0.0637,False,False,False
by oneself,dire or risky situation with no room for error,0.0645,-0.0361,False,False,False
state affairs,detestable,0.2094,-0.007145,False,False,False
to adhere to,Mexican,0.1092,-0.10895,False,False,False
to meet (the enemy) and attack,to meet (the enemy) and attack,1.0,1.0,True,True,True
can exist,criticize,0.1472,-0.1343,False,False,False
profit,help,0.3105,0.5,False,True,True
Automobile Traffic Information  Control System,flexi-time,0.05667,0.1672,False,False,False
narrow-minded,terribly,0.2646,-0.1087,False,False,False
as (for),retainer,0.1112,0.03336,False,False,False
peaceful,halving,0.1909,0.295,False,False,False
cultivation,basic symbol,0.0833,-0.1407,False,False,False
(beef) scraps,xerosis,0.1048,0.1702,False,False,False
(universally) recognized,follow,0.1324,-0.1298,False,False,False
to be eager to,stable,0.1597,-0.2441,False,False,False
branches of a pine (tree),programme,0.1073,0.1016,False,False,False
chink,private inquiry,0.1151,-0.001936,False,False,False
apostasy,development,0.2089,0.1125,False,False,False
labor,impregnable fortress,0.1824,-0.0816,False,False,False
Keplerian telescope,wonder drug,0.05603,-0.02805,False,False,False
in-store,to kick about,0.1459,-0.1742,False,False,False
ferrite,pith,0.195,0.02582,False,False,False
medical art,DVD recordable,0.08044,-0.0858,False,False,False
Jesus Christ,door-to-door sales,0.1233,-0.0868,False,False,False
Message Handling,joint labor union,0.012825,0.003843,False,False,False
piquant,unary operator,0.02469,-0.006393,False,False,False
"vanishing from sight (usu. via magic, camouflage. etc.)","fish skin with a granular texture, esp. shark and stingray",0.1115,-0.0801,False,False,False
in a bad way,"East is East, and West is West",0.1631,-0.0663,False,False,False
even so,even so,1.0,1.0,True,True,True
becoming stable,absconding with money,0.166,0.1653,False,False,False
glossy black,the same,0.1327,0.02,False,False,False
just,no more than,0.3967,0.6416,False,True,True
self-instruction,strong-willed,0.241,0.1565,False,False,False
principal clause,viewing angle,0.10876,0.008,False,False,False
person who is a cut above the rest,"inner garden (esp. small, traditional)",0.0859,-0.0328,False,False,False
bring_up,to work away (at),0.2517,-0.04105,False,False,False
"head (of a line, group, etc.)",double election (e.g. of the lower and higher chambers),0.1649,-0.0508,False,False,False
undergo a complete change,main building,0.1621,-0.05435,False,False,False
moral,dead space,0.185,0.00722,False,False,False
corner,straight_line,0.3142,0.1925,False,False,False
unthinkable,soft and full,0.0847,-0.1219,False,False,False
right to editorial freedom,food served at a tea party,0.03543,-0.03336,False,False,False
kink,(sound of an) explosion or detonation,0.1007,0.3125,False,False,False
to cause a disturbance,to point (at),0.1362,0.3086,False,False,False
trial by hot water,idea,0.2106,0.0223,False,False,False
army,imitation,0.2568,-0.0922,False,False,False
artificiality,outside the mosquito net,0.1063,-0.0228,False,False,False
compass north,(counting) completed years (e.g. when calculating age),-0.0438,0.003494,False,False,False
sniffer,individuality,0.1719,-0.1304,False,False,False
goldengirdled coralfish (Coradion chrysozonus),to begin to do,0.0657,-0.0551,False,False,False
fight,inactivity,0.283,0.05783,False,False,False
universal_proposition,inelegance,0.11346,0.06256,False,False,False
homely,ague,0.2178,0.01706,False,False,False
experimental,the prime of one's career,0.1261,-0.00951,False,False,False
to calm down,popularization,0.1643,-0.1708,False,False,False
red-light district,conservative,0.187,0.09875,False,False,False
cultivated land,practiced,0.1772,0.1458,False,False,False
really,NLM,0.203,0.07227,False,False,False
to rummage through,to ransack (e.g. a drawer),0.2054,0.668,False,True,True
opposite bank,opposite shore,0.462,0.8247,True,True,True
Hitachi Medical Corporation,in twos and threes,0.10266,0.0202,False,False,False
all eight corners of the world under one roof,goat nut,0.05942,-0.06305,False,False,False
FSA,"tatami mat (as a measure of room size, either 1.82 sqm or 1.54 sqm)",0.131,-0.1101,False,False,False
to reach mutual understanding,right-angled loop (used in plumbing),0.02411,0.0231,False,False,False
Tyrannosaurus rex,the departed,0.1532,-0.0659,False,False,False
exceptional person hidden among the masses,dope test,0.0975,-0.0688,False,False,False
diver's exposure suit,"body suits, wet suits, and dry suits",0.5566,0.6113,True,True,True
to take precedence (e.g. sadness taking precedence over anger),landgrave,0.04083,0.114,False,False,False
efflux,efflux,1.0,1.0,True,True,True
"standard edition (record, CD, etc.)",regular edition,0.654,0.896,True,True,True
very well,rigour,0.1959,-0.09,False,False,False
maidenhair tree,boss,0.2139,-0.0802,False,False,False
physically disabled child,shake,0.1083,0.06396,False,False,False
to excuse (someone),to begin ...,0.1504,0.1418,False,False,False
answer,space,0.3403,-0.06076,False,False,False
black Monday,nonfinancial,0.1708,0.0383,False,False,False
money game,celery-leaved buttercup (Ranunculus sceleratus),0.01365,0.10364,False,False,False
safety device,church,0.0785,-0.00893,False,False,False
slide_by,killer pulse (short severe earthquake),0.1257,0.06177,False,False,False
one's master's business,worst of the worst,0.09906,-0.0643,False,False,False
slide (for projection),fascination,0.0532,0.2861,False,False,False
spit_up,to get the stories straight,0.1328,-0.2595,False,False,False
ebb,directly behind,0.2094,-0.106,False,False,False
fee for board and lodging,billing function,0.2678,0.2461,False,False,False
grammaticality,intention,0.2615,-0.07166,False,False,False
foretooth,savate kick,0.2075,0.04224,False,False,False
Irishman,Irishwoman,0.7417,0.751,True,True,True
janggu (Korean hourglass drum),variant,0.2192,-0.06335,False,False,False
scattered landholdings,quiver,0.07263,-0.05304,False,False,False
inconstancy,inconstancy,1.0,1.0,True,True,True
empty show,living on the fringe of subsistence,0.1725,0.2664,False,False,False
cruelty,fortunately,0.2021,-0.2051,False,False,False
headlong,tooth,0.332,0.1615,False,False,False
blackweed,straightforward,0.1957,-0.03445,False,False,False
licensing fee,spoon and chopsticks,-0.0392,-0.08997,False,False,False
exceptional,matchless,0.2234,0.6807,False,True,True
balance,subjective,0.2021,-0.0714,False,False,False
precedented,setting sail,0.105,-0.1886,False,False,False
fried squid ring,(fried) calamari,0.4487,0.49,True,True,True
ripe,MFM recording,0.05566,-0.000988,False,False,False
wage rate,income rate,0.712,0.766,True,True,True
from the fact that ...,washlet,0.0861,-0.1131,False,False,False
cut_back,personally,0.1571,-0.02396,False,False,False
wolfsbane,put_on,0.1853,-0.0326,False,False,False
multiple organ failure,multiple organ failure,0.9995,0.9995,True,True,True
heavy,to keep back,0.2332,-0.0673,False,False,False
night cold,coming and going,0.2213,-0.001286,False,False,False
to withhold (an announcement),soil quality,0.02855,-0.2009,False,False,False
able-bodied person,to desire,0.1681,-0.05496,False,False,False
to get over,gym uniform,0.09436,0.005363,False,False,False
armour,precious,0.2198,-0.05957,False,False,False
romantic comedy,romantic comedy,1.001,0.9995,True,True,True
lowbrow,subtitled version (of a movie),0.0388,0.12415,False,False,False
exceeding one's power,import,0.0331,-0.04404,False,False,False
contradictory,effect,0.2634,-0.1022,False,False,False
jasper,cleanroom,0.2393,-0.1772,False,False,False
master,so,0.2778,0.1077,False,False,False
tachograph,unpack,0.1305,-0.05927,False,False,False
order history,order history,1.001,1.0,True,True,True
green barley,sea whistle,0.05273,-0.01198,False,False,False
apologetic,unapologetic,0.2347,-0.05667,False,False,False
tenacity,"literary style from the Heian era onwards, mainly in kana and written by women",-0.0224,-0.0229,False,False,False
pattern interior style,to put on airs,0.10034,0.1754,False,False,False
the whole country,entrance ramp (highway),0.1237,0.03757,False,False,False
to trump,self-organisation,0.1184,-0.002468,False,False,False
decaliter,to exert one's strength,0.0751,0.02667,False,False,False
unpasteurized sake,tightly,0.2489,0.001001,False,False,False
visitor,quarrying (stone),0.1859,-0.10406,False,False,False
central,deliberate,0.1786,0.2267,False,False,False
"affine (function, etc.)",oldness,0.01895,-0.01122,False,False,False
nonfissionable,succession to another's professional name,0.0861,0.01354,False,False,False
burial mound,look_for,0.1376,-0.06143,False,False,False
(one's) sex,to fill (e.g. a vacancy),0.1917,-0.0204,False,False,False
"scaffolding and temporary roof placed around a shrine, temple, etc. undergoing repair","scaffolding and temporary roof placed around a shrine, temple, etc. undergoing repair",1.001,1.0,True,True,True
regarding with apprehension,regarding with apprehension,1.0,1.0,True,True,True
heat of condensation,nakedness,0.134,0.10834,False,False,False
subfossil,Huntington's disease,0.03085,-0.0868,False,False,False
attaching too much importance to,attaching too much importance to,1.0,1.0,True,True,True
individual lesson,old,0.1641,-0.0469,False,False,False
to give a lift,to come after,0.3782,0.4204,False,False,False
on this occasion,tax deadline,0.1118,0.1927,False,False,False
irresponsible criticism,irritated from anxiety,0.1888,0.01481,False,False,False
to come and see,panda bond,0.1274,-0.12335,False,False,False
applications programmer,fruit and vegetable market,0.1982,-0.00461,False,False,False
councilor,"national land development (e.g. building infrastructure, roads, etc.)",0.06256,-0.003555,False,False,False
still,sparkling,0.1549,-0.1387,False,False,False
descent,push-button,0.1638,-0.02388,False,False,False
the whole company,medium stature,0.1039,0.05997,False,False,False
"to hold (a fort, etc.)",to feel depressed,0.2286,0.1775,False,False,False
tenjin hairstyle,unemployment insurance,0.10504,0.02695,False,False,False
single electrode,child prodigy,0.1305,-0.04092,False,False,False
maneuvering,pectoral girdle,0.1361,-0.03857,False,False,False
parasol,parasol,1.0,1.0,True,True,True
three (long cylindrical things),uninterrupted,0.1279,0.0899,False,False,False
flourish of trumpets,multiple nationality,0.04886,-0.03104,False,False,False
low,to slightly change headings,0.1488,-0.1079,False,False,False
shoddy,Lauraceae (laurel family of plants),0.04782,0.0355,False,False,False
contrary person,carbene,0.1353,0.06433,False,False,False
to do thoroughly,private placement bond,0.05222,-0.146,False,False,False
galley,Shōwa era-style,0.2322,-0.089,False,False,False
perseverance,disparaging term,0.1573,0.1409,False,False,False
"several men, several minds",yellowish (color),0.04944,-0.08386,False,False,False
shell of a jacket or coat,the worst goes foremost,0.0963,-0.04416,False,False,False
beginning,to one's heart's content,0.2747,-0.011894,False,False,False
tiger botia,ardent,0.2208,-0.05988,False,False,False
neatly,game console,0.1213,-0.01066,False,False,False
isomalt,hotchpotch,0.2218,0.04352,False,False,False
useful,cannot put up with,0.0652,-0.1338,False,False,False
sexual minority,form of verse,-0.02672,-0.1912,False,False,False
glaze_over,health screening,0.00418,-0.0858,False,False,False
feminine,exponent portion,0.1682,-0.1525,False,False,False
account policy,account lockout,0.5605,0.1658,True,False,False
grand-scale campaign,layperson's opinion,0.09235,-0.072,False,False,False
mild,moulting,0.1924,-0.006203,False,False,False
boater,facilitator,0.2793,0.2201,False,False,False
asset,square or rectangular bento box containing cross-shaped separators,-0.03366,-0.07806,False,False,False
unusual,family tree,0.1926,0.07336,False,False,False
left field,superior court,0.271,0.0769,False,False,False
attendance (on one's superior),postanal gut,0.02733,-0.00692,False,False,False
dissertation,incomplete,0.2551,-0.002304,False,False,False
powerful clan,private house,0.1865,0.1276,False,False,False
paperboard,pasteboard,0.6094,0.8623,True,True,True
"ruling over (one's land, territory, etc.)",direct hit,0.0988,0.1307,False,False,False
to run rampant,to become powerful,0.4724,0.7065,True,True,True
"victim (of a crime, esp. murder)",interesting,0.09375,0.1869,False,False,False
experience,sound_off,0.1412,0.2817,False,False,False
to send a messenger,sustaining programme,0.0213,-0.0651,False,False,False
converter,Chinese matrimony vine (Lycium chinense),0.02748,-0.1707,False,False,False
eagre,radio call sign,0.07556,0.23,False,False,False
to pay one's bill,to examine,0.2607,0.229,False,False,False
to smash,plug-compatible,0.1493,-0.05972,False,False,False
(fish are) biting well,good_fortune,0.192,0.05923,False,False,False
endowment,council of ministers,0.2184,-0.0087,False,False,False
compost,sufficient,0.2664,0.06113,False,False,False
studying at home,stand-off (rugby position),0.0828,-0.04904,False,False,False
(glaring) covetously,each of the three having his (her) own way,0.2078,0.1177,False,False,False
to come out in the open,boastful,0.2108,-0.1853,False,False,False
match,inadequate,0.1015,0.003134,False,False,False
two classes,univalent,0.1288,-0.01749,False,False,False
hole,fold,0.2418,0.2054,False,False,False
to plunge into,imbalance,0.113,0.2312,False,False,False
Cajun,irregular,0.2401,-0.1417,False,False,False
regenerated fibre,pleasing,0.0995,-0.005047,False,False,False
(that is) in,sinking into deep thought,0.1724,0.1057,False,False,False
tall wagon,middle part,0.1864,-0.0871,False,False,False
coloring,colorant,0.678,0.693,True,True,True
preconception,preconception,1.001,1.0,True,True,True
to stave off (e.g. starvation),bright red tinged with yellow,-0.01945,-0.0956,False,False,False
Diet Act,dye resistant starch (used to protect a design),0.03096,0.02277,False,False,False
system-name,macro model,0.07715,0.107,False,False,False
military authority,(not) always,0.1274,-0.0611,False,False,False
tag up,to slight,0.1418,-0.1324,False,False,False
mark_off,microcapsule,0.1191,-0.08295,False,False,False
greedy person,ray of hope,0.2106,0.1278,False,False,False
staring at or watching all sides,to be cornered,0.2847,-0.1224,False,False,False
glance,look_after,0.4148,0.835,False,True,True
to stare at,to scrutinise,0.3318,0.745,False,True,True
sluggish,bright,0.1405,-0.1534,False,False,False
imperative,cerebral infarction,0.1017,-0.00885,False,False,False
rack,purple martin (bird) (Progne subis),0.2251,0.0825,False,False,False
System 5,seal-registration certificate,-0.0171,0.02249,False,False,False
to land (a punch) on,to land (a punch) on,1.0,1.0,True,True,True
tension headache,gaiter,0.0784,-0.004692,False,False,False
how about,undesirable,0.2751,0.03387,False,False,False
to remain lit in the lingering twilight,new hair growth,0.07654,-0.09094,False,False,False
"of soup and love, the first is the best",to be active in places widely apart,0.0992,0.11145,False,False,False
feeling of being in love,losing pitcher,0.1991,0.0238,False,False,False
coniferous forest,intelligence,0.04172,0.00308,False,False,False
small letter,aircraft one is piloting,0.1346,0.1351,False,False,False
worth,tidings,0.2429,0.2141,False,False,False
reference clock,overcast,0.1558,-0.0281,False,False,False
pattern of Japanese accent with the last mora high and the succeeding particle low,to give up,0.0382,-0.0686,False,False,False
orbit,origami popgun,0.1312,-0.0247,False,False,False
acceptance,refuse,0.476,-0.09204,True,False,False
competent,usefulness,0.252,0.1713,False,False,False
reverse,eel trap,0.1864,0.03287,False,False,False
discolor,transverse parity check,0.0811,-0.0204,False,False,False
door-to-door condom sales-lady,to shoot off,0.0732,-0.08813,False,False,False
impurity,purity,0.4905,0.07837,True,False,False
me,police questioning (of a suspicious person),0.09467,-0.0635,False,False,False
to raise,to set up,0.4731,0.657,True,True,True
drive_out,to be probable,0.1021,-0.1626,False,False,False
dental,woodworking,0.319,0.10095,False,False,False
to twist (one's body),to twist (one's body),1.001,1.0,True,True,True
blue jeans,cry_out,0.1989,-0.1102,False,False,False
police car,cruiser,0.4553,0.6943,True,True,True
thinly-sliced food grilled on a cedar board,I see,0.01593,0.03041,False,False,False
wisely,bending,0.1989,-0.04333,False,False,False
unreasonable,East Asian Anti-Japan Armed Front,0.04803,0.07794,False,False,False
trifling,JWNTUG,0.1222,0.09204,False,False,False
power generation facility,thoracic duct,0.05875,0.04645,False,False,False
Tale of Eight Dogs,the public,0.0935,0.02829,False,False,False
bulbourethral gland,cleaning up (enemy remnants),0.04434,-0.1403,False,False,False
sliding,sliding,1.001,1.0,True,True,True
being concealed,seven-spot ladybird,0.08997,-0.04004,False,False,False
unskilled,switch_on,0.1292,-0.03564,False,False,False
unbalancing an opponent,hand-sewn,0.08215,-0.0401,False,False,False
to become seasoned,soil,0.326,0.00615,False,False,False
IC,valid vote,0.1903,-0.02377,False,False,False
double room (e.g. at a hotel),pessimism,-0.01296,-0.00726,False,False,False
brown race,rustic,0.2291,0.12286,False,False,False
invigorating,de-energise,0.2917,-0.1888,False,False,False
sea firefly (Vargula hilgendorfii),a certain person,0.1464,-0.01412,False,False,False
Tuva (Russia),dairy cattle,0.2012,0.1539,False,False,False
Japan Nursing Library Association,unresponsive,0.06696,0.01149,False,False,False
mellite,purposely,0.167,-0.02309,False,False,False
human-interest article,police news,0.2627,0.615,False,True,True
puzzle_over,being free from all distracting thoughts,0.1282,0.07294,False,False,False
Nassau (Bahamas),take_over,0.0634,0.007126,False,False,False
running,peach throat monitor (Varanus jobiensis),0.04633,0.0154,False,False,False
pull_up,food coloring,-0.00991,0.05774,False,False,False
within a stone's throw (of),tagged,0.1844,0.1065,False,False,False
impenetrability,implausible,0.493,0.4343,True,False,False
private traditional calendar published illegally (Edo period),to sleep together in the same bed,-0.03296,0.0659,False,False,False
alias,pseudonym,0.5103,0.9307,True,True,True
snap inspection,god of panic,0.11505,-0.1456,False,False,False
remote data object,to be anxious,-0.005573,-0.0681,False,False,False
"person unable to satisfactorily (marry, shop, etc.)",to capitulate,0.0964,-0.09406,False,False,False
Kyoritsu College of Pharmacy,"offerings (usu. money) to a priest (for reading sutras, etc.)",0.1919,0.03604,False,False,False
curse,two wheels,0.12305,-0.1046,False,False,False
